State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Grid_Name,Part_Grid_Name,Part_Grid_Split_Count,Grid_Population,Grid_Households,Part_Grid_Population,Part_Grid_Households,ESI_Value,ESI_Segment
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,South Kesavaperumalpuram,417,Che_01707,Che_01707_417,1,402,105,16,5,53000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,South Kesavaperumalpuram,417,Che_01708,Che_01708_417,1,49,14,49,14,53000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Teynampet,Parthasarathypuram,365,Che_02009,Che_02009_365,1,1361,341,1361,341,195000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Teynampet,Parthasarathypuram,365,Che_02010,Che_02010_365,1,1416,355,1024,257,196000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Mylapore,CIT Colony,852,Che_02010,Che_02010_852,1,1416,355,392,98,178000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Mylapore,CIT Colony,852,Che_02011,Che_02011_852,1,1326,331,1326,331,176000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Abhiramapuram,664,Che_02014,Che_02014_664,1,2042,557,1151,314,142000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Abhiramapuram,Anandapuram Puram,668,Che_02014,Che_02014_668,1,2042,557,891,243,118000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Abhiramapuram,664,Che_02015,Che_02015_664,1,2040,556,2040,556,135000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Trustpakkam,110,Che_02016,Che_02016_110,1,1839,502,1088,297,187000,"1,60,000-2,00,000"
