,V1
CONDIMENTS_Ticket_Size|DELI CHEESE_Basket_Size,1
CONDIMENTS_Ticket_Size|GELATIN_Ticket_Size,1
CONDIMENTS_Ticket_Size|JAMS.JELLIES_Basket_Size,1
CONDIMENTS_Ticket_Size|PEPPERS.CANNED_Ticket_Size,1
CONDIMENTS_Morning|CONDIMENTS_Afternoon,1
CONDIMENTS_Morning|MAYONNAISE . SPREADS_Morning,1
CONDIMENTS_Morning|SEAFOOD_Morning,1
CONDIMENTS_Morning|TORTILLAS_Morning,1
CONDIMENTS_Morning|VEGETABLES_Morning,1
CONDIMENTS_Afternoon|SALTY SNACKS_Afternoon,1
CONDIMENTS_Evening|MAYONNAISE . SPREADS_Evening,1
CONDIMENTS_Night|DELI BACON_Night,1
CONDIMENTS_Night|FOILS.WRAPS.BAGS_Night,1
CONDIMENTS_Night|MAYONNAISE . SPREADS_Night,1
COOKIES_Sale_Total_Qty|COOKIES_Trans_Count,1
COOKIES_Sale_Total_Qty|COOKIES_Sale_Net_Value,1
COOKIES_Trans_Count|COOKIES_Sale_Total_Qty,1
COOKIES_Trans_Count|COOKIES_Morning,1
COOKIES_Trans_Count|COOKIES_Afternoon,1
COOKIES_Sale_Net_Value|MEAT.CANNED_Sale_Net_Value,1
COOKIES_Ticket_Size|COOKIES_Basket_Size,1
COOKIES_Morning|COOKIES.CRACKERS_Morning,1
COOKIES_Morning|DELI YOGURT.GELATIN_Morning,1
COOKIES_Afternoon|DRINK ASEPTIC_Afternoon,1
COOKIES_Evening|DELI YOGURT.GELATIN_Evening,1
COOKIES_Evening|MILK_Evening,1
COOKIES_Night|COOKIES.CRACKERS_Night,1
COOKIES_Night|DELI.WIENERS . FRANKS_Night,1
COOKIES_Night|DELI CHEESE_Night,1
COOKIES_Night|DRINK ASEPTIC_Night,1
COOKIES.CRACKERS_Sale_Total_Qty|COOKIES.CRACKERS_Trans_Count,1
COOKIES.CRACKERS_Sale_Total_Qty|COOKIES.CRACKERS_Sale_Net_Value,1
COOKIES.CRACKERS_Trans_Count|COOKIES.CRACKERS_Sale_Total_Qty,1
COOKIES.CRACKERS_Trans_Count|COOKIES.CRACKERS_Afternoon,1
COOKIES.CRACKERS_Trans_Count|COOKIES.CRACKERS_Evening,1
COOKIES.CRACKERS_Basket_Size|COOKIES.CRACKERS_Ticket_Size,1
COOKIES.CRACKERS_Basket_Size|COOKING SAUCE_Basket_Size,1
COOKIES.CRACKERS_Basket_Size|VEGETABLES_Basket_Size,1
COOKIES.CRACKERS_Sale_Net_Value|DELI YOGURT.GELATIN_Sale_Net_Value,1
COOKIES.CRACKERS_Ticket_Size|MAYONNAISE . SPREADS_Ticket_Size,1
COOKIES.CRACKERS_Ticket_Size|TORTILLAS_Ticket_Size,1
COOKIES.CRACKERS_Morning|COOKIES.CRACKERS_Afternoon,1
COOKIES.CRACKERS_Afternoon|COOKIES.CRACKERS_Evening,1
COOKIES.CRACKERS_Evening|COOKIES.CRACKERS_Night,1
COOKIES.CRACKERS_Night|DELI CHEESE_Night,1
COOKING OIL_Sale_Total_Qty|COOKING OIL_Basket_Size,1
COOKING OIL_Trans_Count|COOKING OIL_Sale_Total_Qty,1
COOKING OIL_Trans_Count|COOKING OIL_Afternoon,1
COOKING OIL_Basket_Size|SAUCE_Basket_Size,1
COOKING OIL_Sale_Net_Value|COOKING OIL_Trans_Count,1
COOKING OIL_Sale_Net_Value|SAUCE_Trans_Count,1
COOKING OIL_Ticket_Size|DELI JUICE_Basket_Size,1
COOKING OIL_Ticket_Size|DETERGENT_Ticket_Size,1
COOKING OIL_Morning|DETERGENT DISH_Morning,1
COOKING OIL_Morning|SUGAR_Morning,1
COOKING OIL_Morning|TORTILLAS_Morning,1
COOKING OIL_Afternoon|COOKING OIL_Evening,1
COOKING OIL_Afternoon|TOMATOES_Afternoon,1
COOKING OIL_Afternoon|TORTILLAS_Afternoon,1
COOKING OIL_Evening|MEAT POULTRY_Evening,1
COOKING OIL_Evening|SAUCE_Evening,1
COOKING OIL_Evening|TOILET TISSUE_Evening,1
COOKING OIL_Night|MEAT POULTRY_Night,1
COOKING OIL_Night|TORTILLAS_Night,1
COOKING OIL_Night|TORTILLERIA.TORTILLERIA_Night,1
COOKING SAUCE_Sale_Total_Qty|COOKING SAUCE_Trans_Count,1
COOKING SAUCE_Sale_Total_Qty|COOKING SAUCE_Sale_Net_Value,1
COOKING SAUCE_Trans_Count|COOKING SAUCE_Sale_Total_Qty,1
COOKING SAUCE_Trans_Count|COOKING SAUCE_Afternoon,1
COOKING SAUCE_Basket_Size|COOKING SAUCE_Ticket_Size,1
COOKING SAUCE_Basket_Size|DELI MARGARINE_Basket_Size,1
COOKING SAUCE_Sale_Net_Value|COOKING SAUCE_Ticket_Size,1
COOKING SAUCE_Ticket_Size|DELI COFFEE ENHANCERS_Ticket_Size,1
COOKING SAUCE_Ticket_Size|MEAT.CANNED_Ticket_Size,1
COOKING SAUCE_Ticket_Size|PEANUT BUTTER_Ticket_Size,1
COOKING SAUCE_Morning|PASTA_Morning,1
COOKING SAUCE_Afternoon|COOKING SAUCE_Trans_Count,1
COOKING SAUCE_Evening|PASTA_Evening,1
COOKING SAUCE_Night|DELI CHEESE_Night,1
COOKING SAUCE_Night|PASTA_Night,1
CRV.CRV_Sale_Total_Qty|CRV.CRV_Sale_Net_Value,1
CRV.CRV_Trans_Count|CRV.CRV_Sale_Total_Qty,1
CRV.CRV_Trans_Count|CRV.CRV_Morning,1
CRV.CRV_Trans_Count|JUICE_Trans_Count,1
CRV.CRV_Trans_Count|WATER_Trans_Count,1
CRV.CRV_Basket_Size|JUICE_Basket_Size,1
CRV.CRV_Basket_Size|SERVICE DELI MAJOR CAT_Night,1
CRV.CRV_Basket_Size|SPORT DRINKS_Basket_Size,1
CRV.CRV_Basket_Size|WATER_Basket_Size,1
CRV.CRV_Sale_Net_Value|CRV.CRV_Ticket_Size,1
CRV.CRV_Sale_Net_Value|WATER_Sale_Net_Value,1
CRV.CRV_Ticket_Size|WATER_Ticket_Size,1
CRV.CRV_Morning|DELI FRUIT DRINKS . PUNCHES_Morning,1
CRV.CRV_Morning|JUICE_Morning,1
CRV.CRV_Morning|NECTARS_Morning,1
CRV.CRV_Morning|SPORT DRINKS_Morning,1
CRV.CRV_Morning|WATER_Morning,1
CRV.CRV_Afternoon|DELI FRUIT DRINKS . PUNCHES_Afternoon,1
CRV.CRV_Afternoon|NECTARS_Afternoon,1
CRV.CRV_Afternoon|SPORT DRINKS_Afternoon,1
CRV.CRV_Afternoon|WATER_Afternoon,1
CRV.CRV_Evening|DELI FRUIT DRINKS . PUNCHES_Evening,1
CRV.CRV_Evening|JUICE_Evening,1
CRV.CRV_Evening|NECTARS_Evening,1
CRV.CRV_Evening|SPORT DRINKS_Evening,1
CRV.CRV_Evening|WATER_Evening,1
CRV.CRV_Night|DELI FRUIT DRINKS . PUNCHES_Night,1
CRV.CRV_Night|ICE CREAM_Sale_Net_Value,1
CRV.CRV_Night|WATER_Night,1
CUPS_Sale_Total_Qty|CUPS_Trans_Count,1
CUPS_Sale_Total_Qty|CUPS_Sale_Net_Value,1
CUPS_Trans_Count|CUPS_Sale_Total_Qty,1
CUPS_Trans_Count|CUPS_Afternoon,1
CUPS_Trans_Count|DAIRY.DELI_Sale_Net_Value,1
CUPS_Basket_Size|CUPS_Ticket_Size,1
CUPS_Sale_Net_Value|CUPS_Ticket_Size,1
CUPS_Ticket_Size|DELI MILK ALTERNATIVES_Ticket_Size,1
CUPS_Morning|HOMINY_Morning,1
CUPS_Morning|PLATES_Morning,1
CUPS_Afternoon|CUPS_Evening,1
CUPS_Afternoon|FRUIT_Afternoon,1
CUPS_Afternoon|PLATES_Afternoon,1
CUPS_Night|DELI MARGARINE_Night,1
CUPS_Night|HOMINY_Evening,1
CUPS_Night|SPICES.SEASONING_Night,1
CUPS_Night|UTENSILS_Night,1
DAIRY.DELI_Sale_Total_Qty|DAIRY.DELI_Basket_Size,1
DAIRY.DELI_Trans_Count|DAIRY.DELI_Sale_Total_Qty,1
DAIRY.DELI_Trans_Count|DAIRY.DELI_Sale_Net_Value,1
DAIRY.DELI_Trans_Count|DAIRY.DELI_Evening,1
DAIRY.DELI_Basket_Size|DAIRY.DELI_Ticket_Size,1
DAIRY.DELI_Sale_Net_Value|DAIRY.DELI_Ticket_Size,1
DAIRY.DELI_Ticket_Size|DELI.WIENERS . FRANKS_Ticket_Size,1
DAIRY.DELI_Morning|DELI CHEESE_Morning,1
DAIRY.DELI_Morning|FRUIT_Morning,1
DAIRY.DELI_Morning|SPICES.SEASONING_Morning,1
DAIRY.DELI_Morning|TORTILLAS_Morning,1
DAIRY.DELI_Afternoon|MILK_Afternoon,1
DAIRY.DELI_Evening|DELI HISPANIC CHEESE_Evening,1
DAIRY.DELI_Night|BLEACH_Night,1
DELI.CHORIZO_Trans_Count|DELI.CHORIZO_Sale_Total_Qty,1
DELI.CHORIZO_Trans_Count|DELI.CHORIZO_Evening,1
DELI.CHORIZO_Trans_Count|DELI.CHORIZO_Night,1
DELI.CHORIZO_Basket_Size|DELI.CHORIZO_Ticket_Size,1
DELI.CHORIZO_Sale_Net_Value|DELI.CHORIZO_Ticket_Size,1
DELI.CHORIZO_Sale_Net_Value|DETERGENT_Afternoon,1
DELI.CHORIZO_Morning|DELI.CHORIZO_Trans_Count,1
DELI.CHORIZO_Afternoon|DELI.CHORIZO_Trans_Count,1
DELI.CHORIZO_Evening|DELI MEATS_Evening,1
DELI.CHORIZO_Night|TORTILLAS_Night,1
DELI.CHORIZO_Night|VEGETABLES_Night,1
DELI.LUNCH SNACKS_Sale_Total_Qty|DELI.LUNCH SNACKS_Trans_Count,1
DELI.LUNCH SNACKS_Sale_Total_Qty|DELI.LUNCH SNACKS_Sale_Net_Value,1
DELI.LUNCH SNACKS_Trans_Count|DELI.LUNCH SNACKS_Sale_Total_Qty,1
DELI.LUNCH SNACKS_Trans_Count|DELI.LUNCH SNACKS_Afternoon,1
DELI.LUNCH SNACKS_Trans_Count|DELI.LUNCH SNACKS_Evening,1
DELI.LUNCH SNACKS_Basket_Size|DELI.LUNCH SNACKS_Ticket_Size,1
DELI.LUNCH SNACKS_Basket_Size|TOILET TISSUE_Ticket_Size,1
DELI.LUNCH SNACKS_Sale_Net_Value|DELI.LUNCH SNACKS_Sale_Total_Qty,1
DELI.LUNCH SNACKS_Ticket_Size|TEA_Basket_Size,1
DELI.LUNCH SNACKS_Morning|DELI.LUNCH SNACKS_Night,1
DELI.LUNCH SNACKS_Morning|DELI YOGURT.GELATIN_Morning,1
DELI.LUNCH SNACKS_Afternoon|DELI.LUNCH SNACKS_Trans_Count,1
DELI.LUNCH SNACKS_Afternoon|DELI.LUNCH SNACKS_Evening,1
DELI.LUNCH SNACKS_Evening|DELI.LUNCH SNACKS_Night,1
DELI.LUNCH SNACKS_Night|DRINK ASEPTIC_Night,1
DELI.LUNCH SNACKS_Night|PEANUT BUTTER_Night,1
DELI.WIENERS . FRANKS_Sale_Total_Qty|DELI.WIENERS . FRANKS_Trans_Count,1
DELI.WIENERS . FRANKS_Trans_Count|DELI.WIENERS . FRANKS_Sale_Total_Qty,1
DELI.WIENERS . FRANKS_Basket_Size|DELI MILK ALTERNATIVES_Basket_Size,1
DELI.WIENERS . FRANKS_Sale_Net_Value|HBC TOOTHPASTE_Sale_Net_Value,1
DELI.WIENERS . FRANKS_Ticket_Size|DELI MEATS_Ticket_Size,1
DELI.WIENERS . FRANKS_Ticket_Size|FLOUR_Ticket_Size,1
DELI.WIENERS . FRANKS_Ticket_Size|FLOUR_Night,1
DELI.WIENERS . FRANKS_Ticket_Size|MEAT BEEF_Ticket_Size,1
DELI.WIENERS . FRANKS_Morning|DELI FRUIT DRINKS . PUNCHES_Morning,1
DELI.WIENERS . FRANKS_Morning|DELI MEATS_Morning,1
DELI.WIENERS . FRANKS_Afternoon|DELI YOGURT.GELATIN_Afternoon,1
DELI.WIENERS . FRANKS_Evening|DELI MEATS_Evening,1
DELI.WIENERS . FRANKS_Evening|MEAT POULTRY_Evening,1
DELI.WIENERS . FRANKS_Evening|SOAP BAR_Evening,1
DELI.WIENERS . FRANKS_Evening|TOILET TISSUE_Evening,1
DELI.WIENERS . FRANKS_Night|DELI.CHORIZO_Night,1
DELI.WIENERS . FRANKS_Night|DELI MEATS_Night,1
DELI.WIENERS . FRANKS_Night|DETERGENT DISH_Night,1
DELI.WIENERS . FRANKS_Night|FOILS.WRAPS.BAGS_Night,1
DELI.WIENERS . FRANKS_Night|MEAT POULTRY_Night,1
DELI.WIENERS . FRANKS_Night|PASTA_Night,1
DELI.WIENERS . FRANKS_Night|SOAP BAR_Evening,1
DELI BACON_Sale_Total_Qty|DELI BACON_Sale_Net_Value,1
DELI BACON_Trans_Count|DELI BACON_Sale_Total_Qty,1
DELI BACON_Trans_Count|DELI BACON_Night,1
DELI BACON_Basket_Size|DELI BACON_Ticket_Size,1
DELI BACON_Ticket_Size|MAYONNAISE . SPREADS_Ticket_Size,1
DELI BACON_Ticket_Size|SALTY SNACKS_Ticket_Size,1
DELI BACON_Morning|MAYONNAISE . SPREADS_Morning,1
DELI BACON_Morning|UTENSILS_Morning,1
DELI BACON_Morning|VEGETABLES_Morning,1
DELI BACON_Afternoon|DELI BACON_Trans_Count,1
DELI BACON_Night|UTENSILS_Night,1
DELI CHEESE_Sale_Total_Qty|DELI CHEESE_Basket_Size,1
DELI CHEESE_Trans_Count|DELI CHEESE_Sale_Total_Qty,1
DELI CHEESE_Trans_Count|DELI CHEESE_Sale_Net_Value,1
DELI CHEESE_Trans_Count|DELI CHEESE_Afternoon,1
DELI CHEESE_Ticket_Size|DELI CHEESE_Trans_Count,1
DELI CHEESE_Morning|MILK_Morning,1
DELI CHEESE_Morning|RICE_Morning,1
DELI CHEESE_Morning|SAUCE_Morning,1
DELI CHEESE_Afternoon|DELI HISPANIC CHEESE_Afternoon,1
DELI CHEESE_Afternoon|MILK_Afternoon,1
DELI CHEESE_Afternoon|PASTA_Afternoon,1
DELI CHEESE_Evening|DELI MEATS_Evening,1
DELI CHEESE_Evening|MEAT CHEESE. CREAM. ATES. AND HAM   _Evening,1
DELI CHEESE_Evening|MILK_Evening,1
DELI CHEESE_Night|DELI MEATS_Night,1
DELI CHEESE_Night|HBC TOOTHPASTE_Night,1
DELI CHEESE_Night|MILK_Night,1
DELI COFFEE ENHANCERS_Sale_Total_Qty|DELI COFFEE ENHANCERS_Trans_Count,1
DELI COFFEE ENHANCERS_Sale_Total_Qty|DELI COFFEE ENHANCERS_Sale_Net_Value,1
DELI COFFEE ENHANCERS_Trans_Count|DELI COFFEE ENHANCERS_Sale_Total_Qty,1
DELI COFFEE ENHANCERS_Trans_Count|DELI COFFEE ENHANCERS_Afternoon,1
DELI COFFEE ENHANCERS_Basket_Size|DELI COFFEE ENHANCERS_Ticket_Size,1
DELI COFFEE ENHANCERS_Basket_Size|PEANUT BUTTER_Basket_Size,1
DELI COFFEE ENHANCERS_Basket_Size|TOILET TISSUE_Basket_Size,1
DELI COFFEE ENHANCERS_Sale_Net_Value|DELI COFFEE ENHANCERS_Ticket_Size,1
DELI COFFEE ENHANCERS_Ticket_Size|FROZEN BURRITOS_Ticket_Size,1
DELI COFFEE ENHANCERS_Morning|JAMS.JELLIES_Morning,1
DELI COFFEE ENHANCERS_Afternoon|MILK_Afternoon,1
DELI COFFEE ENHANCERS_Evening|MEAT POULTRY_Evening,1
DELI COFFEE ENHANCERS_Evening|MILK_Evening,1
DELI COFFEE ENHANCERS_Evening|PEPPERS.CANNED_Evening,1
DELI COFFEE ENHANCERS_Night|VEGETABLES_Night,1
DELI FRUIT DRINKS . PUNCHES_Sale_Total_Qty|DELI FRUIT DRINKS . PUNCHES_Basket_Size,1
DELI FRUIT DRINKS . PUNCHES_Trans_Count|DELI FRUIT DRINKS . PUNCHES_Sale_Total_Qty,1
DELI FRUIT DRINKS . PUNCHES_Trans_Count|DELI FRUIT DRINKS . PUNCHES_Morning,1
DELI FRUIT DRINKS . PUNCHES_Trans_Count|DELI FRUIT DRINKS . PUNCHES_Evening,1
DELI FRUIT DRINKS . PUNCHES_Sale_Net_Value|CRV.CRV_Trans_Count,1
DELI FRUIT DRINKS . PUNCHES_Sale_Net_Value|DELI FRUIT DRINKS . PUNCHES_Trans_Count,1
DELI FRUIT DRINKS . PUNCHES_Ticket_Size|MonthDay,1
DELI FRUIT DRINKS . PUNCHES_Morning|DELI FRUIT DRINKS . PUNCHES_Afternoon,1
DELI FRUIT DRINKS . PUNCHES_Afternoon|DELI FRUIT DRINKS . PUNCHES_Evening,1
DELI FRUIT DRINKS . PUNCHES_Night|PAPER TOWELS_Night,1
DELI HISPANIC CHEESE_Sale_Total_Qty|DELI HISPANIC CHEESE_Trans_Count,1
DELI HISPANIC CHEESE_Sale_Total_Qty|DELI HISPANIC CHEESE_Sale_Net_Value,1
DELI HISPANIC CHEESE_Trans_Count|DELI HISPANIC CHEESE_Sale_Total_Qty,1
DELI HISPANIC CHEESE_Trans_Count|DELI HISPANIC CHEESE_Evening,1
DELI HISPANIC CHEESE_Trans_Count|DELI HISPANIC CHEESE_Night,1
DELI HISPANIC CHEESE_Sale_Net_Value|TOMATOES_Sale_Net_Value,1
DELI HISPANIC CHEESE_Ticket_Size|DELI MEATS_Ticket_Size,1
DELI HISPANIC CHEESE_Ticket_Size|SOAP BAR_Basket_Size,1
DELI HISPANIC CHEESE_Afternoon|DELI YOGURT.GELATIN_Afternoon,1
DELI HISPANIC CHEESE_Afternoon|MAYONNAISE . SPREADS_Afternoon,1
DELI HISPANIC CHEESE_Night|TORTILLAS_Night,1
DELI JUICE_Sale_Total_Qty|DELI JUICE_Trans_Count,1
DELI JUICE_Sale_Total_Qty|DELI JUICE_Sale_Net_Value,1
DELI JUICE_Sale_Total_Qty|DELI JUICE_Night,1
DELI JUICE_Trans_Count|DELI JUICE_Sale_Total_Qty,1
DELI JUICE_Trans_Count|DELI JUICE_Afternoon,1
DELI JUICE_Trans_Count|DELI JUICE_Evening,1
DELI JUICE_Basket_Size|DELI JUICE_Ticket_Size,1
DELI JUICE_Sale_Net_Value|DELI JUICE_Ticket_Size,1
DELI JUICE_Afternoon|SALT_Afternoon,1
DELI JUICE_Evening|FABRIC SOFTENERS_Evening,1
DELI JUICE_Night|MEAT BEEF_Night,1
DELI MARGARINE_Sale_Total_Qty|DELI MARGARINE_Trans_Count,1
DELI MARGARINE_Sale_Total_Qty|DELI MARGARINE_Sale_Net_Value,1
DELI MARGARINE_Sale_Total_Qty|DELI MARGARINE_Morning,1
DELI MARGARINE_Trans_Count|DELI MARGARINE_Sale_Total_Qty,1
DELI MARGARINE_Trans_Count|DELI MARGARINE_Evening,1
DELI MARGARINE_Basket_Size|DELI MARGARINE_Ticket_Size,1
DELI MARGARINE_Sale_Net_Value|DELI MARGARINE_Ticket_Size,1
DELI MARGARINE_Morning|DELI MARGARINE_Afternoon,1
DELI MARGARINE_Morning|FOILS.WRAPS.BAGS_Morning,1
DELI MARGARINE_Morning|HBC TOOTHPASTE_Morning,1
DELI MARGARINE_Afternoon|DELI MARGARINE_Evening,1
DELI MARGARINE_Evening|FROZEN VEGETABLES_Evening,1
DELI MARGARINE_Evening|SPICES.SEASONING_Evening,1
DELI MARGARINE_Night|FROZEN VEGETABLES_Evening,1
DELI MARGARINE_Night|MILK_Night,1
DELI MARGARINE_Night|RICE_Night,1
DELI MEATS_Sale_Total_Qty|DELI MEATS_Trans_Count,1
DELI MEATS_Sale_Total_Qty|DELI MEATS_Sale_Net_Value,1
DELI MEATS_Trans_Count|DELI MEATS_Sale_Total_Qty,1
DELI MEATS_Basket_Size|DELI MEATS_Ticket_Size,1
DELI MEATS_Sale_Net_Value|DELI MEATS_Ticket_Size,1
DELI MEATS_Morning|DELI YOGURT.GELATIN_Morning,1
DELI MEATS_Morning|SOAP BAR_Morning,1
DELI MEATS_Afternoon|DELI.WIENERS . FRANKS_Afternoon,1
DELI MEATS_Evening|DELI YOGURT.GELATIN_Evening,1
DELI MEATS_Evening|MAYONNAISE . SPREADS_Evening,1
DELI MEATS_Night|FOILS.WRAPS.BAGS_Night,1
DELI MEATS_Night|HBC TOOTHPASTE_Night,1
DELI MEATS_Night|MAYONNAISE . SPREADS_Night,1
DELI MILK ALTERNATIVES_Sale_Total_Qty|DELI MILK ALTERNATIVES_Night,1
DELI MILK ALTERNATIVES_Trans_Count|DELI MILK ALTERNATIVES_Sale_Total_Qty,1
DELI MILK ALTERNATIVES_Trans_Count|DELI MILK ALTERNATIVES_Morning,1
DELI MILK ALTERNATIVES_Basket_Size|NAPKINS_Basket_Size,1
DELI MILK ALTERNATIVES_Sale_Net_Value|DELI MILK ALTERNATIVES_Trans_Count,1
DELI MILK ALTERNATIVES_Sale_Net_Value|DELI YOGURT.GELATIN_Sale_Net_Value,1
DELI MILK ALTERNATIVES_Afternoon|DELI MILK ALTERNATIVES_Morning,1
DELI MILK ALTERNATIVES_Night|GELATIN_Night,1
DELI MILK ALTERNATIVES_Night|SALTY SNACKS_Night,1
DELI YOGURT.GELATIN_Sale_Total_Qty|DELI YOGURT.GELATIN_Basket_Size,1
DELI YOGURT.GELATIN_Sale_Total_Qty|DELI YOGURT.GELATIN_Sale_Net_Value,1
DELI YOGURT.GELATIN_Trans_Count|DELI YOGURT.GELATIN_Sale_Total_Qty,1
DELI YOGURT.GELATIN_Trans_Count|DELI YOGURT.GELATIN_Sale_Net_Value,1
DELI YOGURT.GELATIN_Trans_Count|DELI YOGURT.GELATIN_Morning,1
DELI YOGURT.GELATIN_Trans_Count|DELI YOGURT.GELATIN_Afternoon,1
DELI YOGURT.GELATIN_Trans_Count|DELI YOGURT.GELATIN_Evening,1
DELI YOGURT.GELATIN_Trans_Count|DELI YOGURT.GELATIN_Night,1
DELI YOGURT.GELATIN_Basket_Size|SPICES.SEASONING_Ticket_Size,1
DELI YOGURT.GELATIN_Sale_Net_Value|MEAT POULTRY_Trans_Count,1
DELI YOGURT.GELATIN_Ticket_Size|DELI YOGURT.GELATIN_Basket_Size,1
DELI YOGURT.GELATIN_Evening|DETERGENT DISH_Evening,1
DELI YOGURT.GELATIN_Evening|MEAT POULTRY_Evening,1
DELI YOGURT.GELATIN_Night|MEAT POULTRY_Night,1
DETERGENT.LAUNDRY_Sale_Total_Qty|DETERGENT.LAUNDRY_Trans_Count,1
DETERGENT.LAUNDRY_Sale_Total_Qty|DETERGENT.LAUNDRY_Sale_Net_Value,1
DETERGENT.LAUNDRY_Trans_Count|DETERGENT.LAUNDRY_Sale_Total_Qty,1
DETERGENT.LAUNDRY_Trans_Count|DETERGENT.LAUNDRY_Morning,1
DETERGENT.LAUNDRY_Trans_Count|DETERGENT.LAUNDRY_Afternoon,1
DETERGENT.LAUNDRY_Basket_Size|DETERGENT.LAUNDRY_Ticket_Size,1
DETERGENT.LAUNDRY_Sale_Net_Value|DETERGENT.LAUNDRY_Ticket_Size,1
DETERGENT.LAUNDRY_Ticket_Size|SAUCE_Night,1
DETERGENT.LAUNDRY_Morning|DETERGENT.LAUNDRY_Afternoon,1
DETERGENT.LAUNDRY_Morning|FABRIC SOFTENERS_Morning,1
DETERGENT.LAUNDRY_Morning|HBC TOOTHPASTE_Morning,1
DETERGENT.LAUNDRY_Morning|SALTY SNACKS_Morning,1
DETERGENT.LAUNDRY_Afternoon|FABRIC SOFTENERS_Afternoon,1
DETERGENT.LAUNDRY_Evening|DETERGENT DISH_Evening,1
DETERGENT.LAUNDRY_Evening|FABRIC SOFTENERS_Evening,1
DETERGENT.LAUNDRY_Night|FABRIC SOFTENERS_Night,1
DETERGENT.LAUNDRY_Night|RAMEN_Night,1
DETERGENT.LAUNDRY_Night|TOILET TISSUE_Night,1
DETERGENT.LAUNDRY_Night|VEGETABLES_Night,1
DETERGENT DISH_Sale_Total_Qty|DETERGENT DISH_Trans_Count,1
DETERGENT DISH_Sale_Total_Qty|DETERGENT DISH_Sale_Net_Value,1
DETERGENT DISH_Trans_Count|DETERGENT DISH_Sale_Total_Qty,1
DETERGENT DISH_Trans_Count|DETERGENT DISH_Afternoon,1
DETERGENT DISH_Basket_Size|CLEANER.WAX.POLISH_Basket_Size,1
DETERGENT DISH_Basket_Size|DETERGENT DISH_Ticket_Size,1
DETERGENT DISH_Sale_Net_Value|DETERGENT DISH_Ticket_Size,1
DETERGENT DISH_Sale_Net_Value|HBC.HAIR CARE_Sale_Net_Value,1
DETERGENT DISH_Sale_Net_Value|HBC TOOTHPASTE_Sale_Net_Value,1
DETERGENT DISH_Ticket_Size|TEA_Ticket_Size,1
DETERGENT DISH_Morning|SOAP BAR_Morning,1
DETERGENT DISH_Afternoon|MEAT.CANNED_Afternoon,1
DETERGENT DISH_Evening|DETERGENT_Evening,1
DETERGENT DISH_Evening|TOILET TISSUE_Evening,1
DETERGENT DISH_Night|DETERGENT_Night,1
DETERGENT DISH_Night|SOAP BAR_Night,1
DETERGENT DISH_Night|TORTILLAS_Night,1
DETERGENT_Sale_Total_Qty|DETERGENT_Trans_Count,1
DETERGENT_Sale_Total_Qty|DETERGENT_Sale_Net_Value,1
DETERGENT_Trans_Count|DETERGENT_Sale_Total_Qty,1
DETERGENT_Trans_Count|DETERGENT_Evening,1
DETERGENT_Basket_Size|DETERGENT_Ticket_Size,1
DETERGENT_Basket_Size|HBC.HAIR CARE_Ticket_Size,1
DETERGENT_Basket_Size|RICE_Basket_Size,1
DETERGENT_Sale_Net_Value|DETERGENT_Ticket_Size,1
DETERGENT_Sale_Net_Value|DETERGENT_Night,1
DETERGENT_Ticket_Size|DRINK ASEPTIC_Basket_Size,1
DETERGENT_Morning|FABRIC SOFTENERS_Morning,1
DETERGENT_Morning|MILK_Morning,1
DETERGENT_Afternoon|FABRIC SOFTENERS_Afternoon,1
DETERGENT_Afternoon|HBC.HAIR CARE_Afternoon,1
DETERGENT_Afternoon|PAPER TOWELS_Afternoon,1
DETERGENT_Afternoon|SOAP BAR_Afternoon,1
DETERGENT_Evening|FABRIC SOFTENERS_Evening,1
DETERGENT_Evening|SOAP BAR_Evening,1
DETERGENT_Night|PAPER TOWELS_Night,1
DRINK ASEPTIC_Sale_Total_Qty|DRINK ASEPTIC_Trans_Count,1
DRINK ASEPTIC_Sale_Total_Qty|DRINK ASEPTIC_Sale_Net_Value,1
DRINK ASEPTIC_Trans_Count|DRINK ASEPTIC_Sale_Total_Qty,1
DRINK ASEPTIC_Trans_Count|DRINK ASEPTIC_Morning,1
DRINK ASEPTIC_Trans_Count|DRINK ASEPTIC_Afternoon,1
DRINK ASEPTIC_Basket_Size|DRINK ASEPTIC_Ticket_Size,1
DRINK ASEPTIC_Sale_Net_Value|SALTY SNACKS_Sale_Net_Value,1
DRINK ASEPTIC_Ticket_Size|MISCELLANEOUS_Basket_Size,1
DRINK ASEPTIC_Ticket_Size|SALTY SNACKS_Night,1
DRINK ASEPTIC_Morning|DRINK ASEPTIC_Afternoon,1
DRINK ASEPTIC_Morning|DRINK ASEPTIC_Evening,1
DRINK ASEPTIC_Morning|FOILS.WRAPS.BAGS_Morning,1
DRINK ASEPTIC_Afternoon|DRINK ASEPTIC_Evening,1
DRINK ASEPTIC_Afternoon|PAPER TOWELS_Afternoon,1
DRINK ASEPTIC_Night|HBC.HAIR CARE_Night,1
DRINK MIX_Sale_Total_Qty|DRINK MIX_Basket_Size,1
DRINK MIX_Trans_Count|DRINK MIX_Sale_Total_Qty,1
DRINK MIX_Trans_Count|DRINK MIX_Sale_Net_Value,1
DRINK MIX_Basket_Size|DRINK MIX_Ticket_Size,1
DRINK MIX_Basket_Size|SAUCE_Ticket_Size,1
DRINK MIX_Sale_Net_Value|DRINK MIX_Ticket_Size,1
