,V1
BAKERY DISCONTINUED_Sale_Total_Qty|BAKERY DISCONTINUED_Basket_Size,1
BAKERY DISCONTINUED_Sale_Total_Qty|DELI YOGURT.GELATIN_Afternoon,1
BAKERY DISCONTINUED_Trans_Count|BAKERY DISCONTINUED_Sale_Net_Value,1
BAKERY DISCONTINUED_Trans_Count|BAKERY DISCONTINUED_Afternoon,1
BAKERY DISCONTINUED_Trans_Count|BAKERY DISCONTINUED_Evening,1
BAKERY DISCONTINUED_Basket_Size|ICE CREAM_Ticket_Size,1
BAKERY DISCONTINUED_Ticket_Size|BAKERY DISCONTINUED_Sale_Net_Value,1
BAKERY DISCONTINUED_Morning|DELI BACON_Morning,1
BAKERY DISCONTINUED_Morning|DELI COFFEE ENHANCERS_Morning,1
BAKERY DISCONTINUED_Morning|FROZEN BURRITOS_Morning,1
BAKERY DISCONTINUED_Morning|MILK_Morning,1
BAKERY DISCONTINUED_Morning|SERVICE DELI MAJOR CAT_Morning,1
BAKERY DISCONTINUED_Morning|TORTILLERIA.TORTILLERIA_Morning,1
BAKERY DISCONTINUED_Afternoon|BAKERY DISCONTINUED_Sale_Net_Value,1
BAKERY DISCONTINUED_Afternoon|CANDY_Afternoon,1
BAKERY DISCONTINUED_Afternoon|MILK_Afternoon,1
BAKERY DISCONTINUED_Evening|CANDY_Evening,1
BAKERY DISCONTINUED_Evening|COFFEE_Evening,1
BAKERY DISCONTINUED_Evening|DELI MILK ALTERNATIVES_Ticket_Size,1
BAKERY DISCONTINUED_Night|CANDY_Night,1
BAKERY DISCONTINUED_Night|COFFEE_Night,1
BAKERY DISCONTINUED_Night|DELI HISPANIC CHEESE_Night,1
BAKERY DISCONTINUED_Night|MEAT CHEESE. CREAM. ATES. AND HAM   _Night,1
BAKERY DISCONTINUED_Night|TORTILLERIA.TORTILLERIA_Night,1
BAKING PRODUCTS_Sale_Total_Qty|BAKING PRODUCTS_Trans_Count,1
BAKING PRODUCTS_Sale_Total_Qty|BAKING PRODUCTS_Sale_Net_Value,1
BAKING PRODUCTS_Trans_Count|BAKING PRODUCTS_Sale_Total_Qty,1
BAKING PRODUCTS_Trans_Count|BAKING PRODUCTS_Morning,1
BAKING PRODUCTS_Trans_Count|BAKING PRODUCTS_Afternoon,1
BAKING PRODUCTS_Basket_Size|BAKING PRODUCTS_Ticket_Size,1
BAKING PRODUCTS_Basket_Size|SALT_Ticket_Size,1
BAKING PRODUCTS_Sale_Net_Value|BAKING PRODUCTS_Ticket_Size,1
BAKING PRODUCTS_Sale_Net_Value|TORTILLERIA.TORTILLERIA_Sale_Total_Qty,1
BAKING PRODUCTS_Morning|BAKING PRODUCTS_Afternoon,1
BAKING PRODUCTS_Morning|DELI MARGARINE_Morning,1
BAKING PRODUCTS_Morning|SPICES.SEASONING_Morning,1
BAKING PRODUCTS_Afternoon|BAKING PRODUCTS_Evening,1
BAKING PRODUCTS_Evening|DELI MARGARINE_Evening,1
BAKING PRODUCTS_Evening|SPICES.SEASONING_Evening,1
BAKING PRODUCTS_Night|DELI MARGARINE_Night,1
BAKING PRODUCTS_Night|FRUIT_Night,1
BAKING PRODUCTS_Night|GM.KITCHEN MISC_Night,1
BAKING PRODUCTS_Night|SPICES.SEASONING_Night,1
BEANS.CANNED_Sale_Total_Qty|BEANS.CANNED_Trans_Count,1
BEANS.CANNED_Sale_Total_Qty|BEANS.CANNED_Sale_Net_Value,1
BEANS.CANNED_Trans_Count|BEANS.CANNED_Sale_Total_Qty,1
BEANS.CANNED_Trans_Count|BEANS.CANNED_Evening,1
BEANS.CANNED_Basket_Size|BEANS.CANNED_Ticket_Size,1
BEANS.CANNED_Basket_Size|BLEACH_Basket_Size,1
BEANS.CANNED_Basket_Size|FLORAL . MAJOR CAT_Night,1
BEANS.CANNED_Sale_Net_Value|BEANS.CANNED_Sale_Total_Qty,1
BEANS.CANNED_Ticket_Size|COOKING OIL_Ticket_Size,1
BEANS.CANNED_Ticket_Size|SPORT DRINKS_Ticket_Size,1
BEANS.CANNED_Morning|CEREAL_Morning,1
BEANS.CANNED_Morning|DELI.WIENERS . FRANKS_Morning,1
BEANS.CANNED_Morning|HBC.HAIR CARE_Sale_Net_Value,1
BEANS.CANNED_Morning|MEAT.CANNED_Morning,1
BEANS.CANNED_Morning|SALTY SNACKS_Morning,1
BEANS.CANNED_Afternoon|CANDLES_Afternoon,1
BEANS.CANNED_Afternoon|COOKIES_Afternoon,1
BEANS.CANNED_Evening|DETERGENT.LAUNDRY_Evening,1
BEANS.CANNED_Evening|FLOUR_Evening,1
BEANS.CANNED_Evening|FOILS.WRAPS.BAGS_Evening,1
BEANS.CANNED_Evening|MEAT.CANNED_Evening,1
BEANS.CANNED_Night|MEAT.CANNED_Night,1
BEANS.CANNED_Night|PAPER TOWELS_Night,1
BEANS.CANNED_Night|RICE_Night,1
BEANS.CANNED_Night|TOMATOES_Night,1
BEANS.DRY_Sale_Total_Qty|BEANS.DRY_Basket_Size,1
BEANS.DRY_Trans_Count|BEANS.DRY_Sale_Total_Qty,1
BEANS.DRY_Trans_Count|BEANS.DRY_Ticket_Size,1
BEANS.DRY_Basket_Size|BEANS.DRY_Ticket_Size,1
BEANS.DRY_Sale_Net_Value|BEANS.DRY_Ticket_Size,1
BEANS.DRY_Sale_Net_Value|BREAKFAST FOODS_Afternoon,1
BEANS.DRY_Afternoon|RICE_Afternoon,1
BEANS.DRY_Evening|JAMS.JELLIES_Evening,1
BEANS.DRY_Night|MILK_Night,1
BEANS.DRY_Night|RICE_Night,1
BEER_Sale_Total_Qty|BEER_Trans_Count,1
BEER_Trans_Count|BEER_Sale_Total_Qty,1
BEER_Basket_Size|BEER_Ticket_Size,1
BEER_Sale_Net_Value|BEER_Ticket_Size,1
BEER_Sale_Net_Value|PLATES_Sale_Net_Value,1
BEER_Sale_Net_Value|SEAFOOD_Ticket_Size,1
BEER_Ticket_Size|CRV.CRV_Ticket_Size,1
BEER_Ticket_Size|MEAT BEEF_Basket_Size,1
BEER_Morning|CRV.CRV_Morning,1
